Aardvark ,Mammal
Aardwolf,Mammal
Acouchi ,Mammal
Addax ,Mammal
African Buffalo  ,Mammal
African Wild Ass ,Mammal
African Wild Dog,Mammal
Agouti ,Mammal
Alpaca,Mammal
American Black Bear,Mammal
Amur Leopard,Mammal
Andean Mountain Cat,Mammal
Anoa,Mammal
Anteater,Mammal
Antelope,Mammal
Arctic Fox ,Mammal
Armadillo,Mammal
Asian Black Bear,Mammal
Auk,Mammal
Aye-aye,Mammal
Babirusa,Mammal
Baboon,Mammal
Badger,Mammal
Bandicoot,Mammal
Banteng,Mammal
Bat,Mammal
Bear,Mammal
Beaver ,Mammal
Bettong,Mammal
Bilby ,Mammal
Binturong,Mammal
Bison,Mammal
Black-footed Cat,Mammal
Black-footed Ferret,Mammal
Blue Sheep,Mammal
Bobcat,Mammal
Bongo,Mammal
Brown Bear,Mammal
Bull ,Mammal
Bunny ,Mammal
Bush Dog,Mammal
Bushbaby,Mammal
Camel ,Mammal
Capybara ,Mammal
Caracal ,Mammal
Caribou,Mammal
Cat ,Mammal
Cattle ,Mammal
Cavy ,Mammal
Chamois  ,Mammal
Cheetah  ,Mammal
Chimpanzee ,Mammal
Chinchilla ,Mammal
Chipmunk  ,Mammal
Civet ,Mammal
Climbing Mouse ,Mammal
Clouded Leopard ,Mammal
Coati ,Mammal
Colugo ,Mammal
Common Genet,Mammal
Cotton Rat ,Mammal
Cougar ,Mammal
Cow ,Mammal
Coyote ,Mammal
Coypu  ,Mammal
Culpeo fox,Mammal
Cuscus ,Mammal
Dassie Rat ,Mammal
Deer ,Mammal
Deer Mouse ,Mammal
Degu ,Mammal
Dhole ,Mammal
Dibbler ,Mammal
Dik-dik ,Mammal
Dingo,Mammal
Dog  ,Mammal
Donkey ,Mammal
Dormouse,Mammal
Duiker ,Mammal
Dunnart,Mammal
Echidna ,Mammal
Elephant ,Mammal
Elk ,Mammal
Ermine ,Mammal
Fennec Fox ,Mammal
Ferret ,Mammal
Fisher ,Mammal
Fishing Cat ,Mammal
Flat-headed Cat ,Mammal
Fossa ,Mammal
Fox,Mammal
Galago ,Mammal
Gaur ,Mammal
Gazelle,Mammal
Geoffroy's Cat ,Mammal
Gerbil,Mammal
Giant Panda,Mammal
Gibbon ,Mammal
Giraffe ,Mammal
Gnu ,Mammal
Goat,Mammal
Gopher ,Mammal
Goral ,Mammal
Gorilla ,Mammal
Greater Glider ,Mammal
Grison ,Mammal
Grizzly Bear ,Mammal
Groundhog ,Mammal
Guinea Pig ,Mammal
Gundi ,Mammal
Hamster ,Mammal
Hartebeest ,Mammal
Hedgehog ,Mammal
Himalayan Tahr ,Mammal
Hippopotamus,Mammal
Horse ,Mammal
Hutia ,Mammal
Hyena ,Mammal
Hyrax,Mammal
Iberian Lynx ,Mammal
Ibex,Mammal
Impala ,Mammal
Jack rabbit ,Mammal
Jackal ,Mammal
Jaguar ,Mammal
Jaguarundi ,Mammal
Jerboa ,Mammal
Jungle Cat,Mammal
Kangaroo ,Mammal
Kangaroo Rat ,Mammal
Kerodon,Mammal
Kinkajou ,Mammal
Klipspringer ,Mammal
Koala ,Mammal
Kodiak Bear ,Mammal
Kodkod,Mammal
Kowari ,Mammal
Kudu ,Mammal
Kultarr ,Mammal
Lemming ,Mammal
Lemur ,Mammal
Leopard ,Mammal
Liger ,Mammal
Lion,Mammal
Llama ,Mammal
Loris,Mammal
Lynx,Mammal
Mammoth ,Mammal
Maned Wolf,Mammal
Mandrill ,Mammal
Mara ,Mammal
Margay,Mammal
Markhor,Mammal
Marmot ,Mammal
Marsupial ,Mammal
Mole ,Mammal
Marten ,Mammal
Mastodon ,Mammal
Meerkat ,Mammal
Mink ,Mammal
Mole ,Mammal
Mole Rat ,Mammal
Mongoose ,Mammal
Monkey ,Mammal
Moose ,Mammal
Mountain Goat ,Mammal
Mountain Lion ,Mammal
Mouse ,Mammal
Mouse Deer ,Mammal
Muntjac ,Mammal
Muskox ,Mammal
Muskrat,Mammal
Musky Rat-Kangaroo ,Mammal
Naked Mole-rat ,Mammal
Numbat ,Mammal
Nutria ,Mammal
Ocelot,Mammal
Okapi,Mammal
Olingo ,Mammal
Onager ,Mammal
Opossum ,Mammal
Orangutan ,Mammal
Oryx,Mammal
Otter,Mammal
Paca,Mammal
Pademelon ,Mammal
Pallas's cat ,Mammal
Panda ,Mammal
Pangolin ,Mammal
Panther,Mammal
Peccary,Mammal
Pig,Mammal
Pika,Mammal
Pizzly Bear,Mammal
Pocket Gopher,Mammal
Polar Bear ,Mammal
Pony ,Mammal
Porcupine ,Mammal
Possum,Mammal
Potoroo ,Mammal
Potto ,Mammal
Pouched Rat ,Mammal
Prairie Dog ,Mammal
Pronghorn ,Mammal
Przewalski's Horse,Mammal
Pudu,Mammal
Puma,Mammal
Qinling Panda ,Mammal
Quagga,Mammal
Quokka ,Mammal
Quoll ,Mammal
Rabbit ,Mammal
Raccoon ,Mammal
Raccoon dog,Mammal
Rat,Mammal
Red Panda ,Mammal
Red River Hog ,Mammal
Reindeer,Mammal
Rhinoceros ,Mammal
Ringtail ,Mammal
Rock Hyrax,Mammal
Rufous Rat-kangaroo,Mammal
Saber-toothed Cat,Mammal
Sand Cat,Mammal
Serval,Mammal
Sheep,Mammal
Shrew,Mammal
Skunk ,Mammal
Sloth ,Mammal
Sloth Bear ,Mammal
Slow Loris,Mammal
Snow Leopard ,Mammal
Solenodon,Mammal
Spectacled Bear,Mammal
Spiny Mouse ,Mammal
Spiny Rat ,Mammal
Springhare,Mammal
Squirrel ,Mammal
Squirrel Glider,Mammal
Steppe Lemming,Mammal
Stoat,Mammal
Sun Bear,Mammal
Takin ,Mammal
Tamandua ,Mammal
Tamarin,Mammal
Tapir,Mammal
Tarsier ,Mammal
Tasmanian Devil ,Mammal
Tasmanian Wolf ,Mammal
Tayra,Mammal
Tenrec,Mammal
Tiger,Mammal
Tigon,Mammal
Treeshrew,Mammal
Vicuna,Mammal
Viscacha,Mammal
Vole,Mammal
Wallaby,Mammal
Wapiti,Mammal
